Site	Treatment	ACI	ADI	BI	H	NDSI 
FWF	Dark_1	1648.422837	2.302574	0.105849774	0.97913128	0.695740868
FWF	Dark_1	1648.667427	2.302133	0.09063519	0.975628893	0.731847925
FWF	Dark_1	1649.480316	2.299341	0.119382464	0.979820063	0.693492979
FWF	Dark_1	1649.000136	2.302585	0.097683604	0.980271513	0.750363616
FWF	Dark_1	1650.697409	2.28642	0.113023956	0.979723529	0.687101353
FWF	Dark_1	1651.235591	2.302537	0.111791212	0.979769031	0.771223725
FWF	Dark_1	1648.754701	2.302585	0.090742436	0.980131683	0.770868582
FWF	Dark_1	1649.578808	2.297035	0.101566409	0.973140628	0.70292345
FWF	Dark_1	1648.860658	2.302584	0.093592896	0.980012178	0.759417639
FWF	Dark_1	1649.379351	2.302584	0.092709781	0.979518078	0.771620021
FWF	Dark_1	1647.007061	2.302583	0.109679322	0.978864276	0.793602462
FWF	Dark_1	1647.851288	2.302582	0.118882898	0.97975365	0.788255679
FWF	Dark_1	1646.502705	2.302289	0.153379446	0.978732714	0.737020272
FWF	Dark_1	1647.724081	2.290571	0.142741536	0.978696809	0.805109235
FWF	Dark_1	1650.318882	2.302582	0.149351116	0.979469461	0.802158993
FWF	Dark_1	1648.483998	2.302584	0.14505656	0.979248797	0.802037829
FWF	Dark_1	1652.729966	2.302544	0.160416087	0.978427027	0.790561517
FWF	Dark_1	1649.488185	2.302456	0.197070502	0.978702969	0.745485922
FWF	Dark_1	1646.893796	2.302555	0.131691075	0.979512106	0.797928865
FWF	Dark_1	1647.912659	2.302457	0.105823517	0.976401429	0.792631771
FWF	Dark_1	1652.979992	2.298532	0.166272813	0.974066066	0.783765144
FWF	Dark_1	1650.427257	2.302584	0.151965117	0.979072511	0.805151696
FWF	Dark_1	1642.68002	2.302574	0.139412312	0.977414387	0.808012907
FWF	Dark_1	1648.293714	2.302584	0.103773321	0.978695513	0.803376319
FWF	Dark_1	1644.526101	2.302584	0.202097349	0.97766162	0.838052716
FWF	Dark_1	1646.82177	2.302583	0.15090398	0.978149934	0.825431079
FWF	Dark_1	1644.250014	2.302571	0.136147452	0.977808136	0.764506334
FWF	Dark_1	1641.691973	2.302584	0.165077758	0.977203929	0.844626351
FWF	Dark_1	1645.227582	2.301877	0.153610187	0.977214134	0.793993802
FWF	Dark_1	1644.230974	2.30251	0.132424464	0.977369422	0.834988793
FWF	Dark_1	1645.369586	2.302528	0.130771394	0.975889921	0.859335823
FWF	Dark_1	1646.09205	2.302583	0.132430185	0.977117596	0.858358075
FWF	Dark_1	1642.65728	2.302585	0.132579564	0.977416039	0.857236743
FWF	Dark_1	1642.990857	2.302584	0.13076906	0.977260575	0.853734154
FWF	Dark_1	1644.57911	2.302585	0.129102554	0.977334498	0.858985883
FWF	Dark_1	1644.388379	2.302584	0.120853543	0.976434524	0.870919465
FWF	Dark_1	1643.248547	2.302585	0.118630417	0.9770635	0.862904285
FWF	Dark_1	1644.186813	2.302583	0.139623301	0.975547098	0.881015408
FWF	Dark_1	1643.898624	2.302582	0.124967683	0.976297068	0.869206992
FWF	Dark_1	1644.999509	2.232199	0.202753124	0.975800067	0.810906267
FWF	Dark_1	1641.113502	2.302579	0.121268957	0.976436384	0.857621245
FWF	Dark_1	1643.541245	2.302584	0.110013351	0.976097101	0.852025778
FWF	Dark_1	1643.228008	2.302584	0.12123711	0.975025763	0.867612631
FWF	Dark_1	1642.404306	2.302584	0.120428663	0.975329585	0.860652118
FWF	Dark_1	1644.186285	2.302579	0.132313742	0.974645864	0.871494337
FWF	Dark_1	1645.872745	2.299647	0.133565429	0.971450835	0.814472393
FWF	Dark_1	1644.121462	2.302584	0.118742019	0.976932949	0.846754902
FWF	Dark_1	1641.620381	2.302583	0.111938343	0.976054695	0.861162767
FWF	Dark_1	1646.191585	2.302577	0.313556109	0.973977484	0.881052772
FWF	Dark_1	1643.652671	2.302583	0.179709492	0.972560244	0.893148734
FWF	Dark_1	1642.196749	2.302582	0.147985413	0.97251805	0.889710576
FWF	Dark_1	1642.391242	2.302583	0.146273296	0.973288252	0.885491581
FWF	Dark_1	1642.114687	2.302582	0.128378433	0.972473606	0.887063765
FWF	Dark_1	1643.251157	2.302564	0.11629171	0.974989668	0.872338395
FWF	Dark_1	1646.054961	2.29934	0.16463463	0.972691603	0.831913549
FWF	Dark_1	1643.280804	2.302578	0.232002367	0.975082001	0.882677275
FWF	Dark_1	1642.878419	2.302556	0.118167544	0.973540388	0.880749151
FWF	Dark_1	1645.818794	2.302582	0.148928037	0.975314309	0.869280793
FWF	Dark_1	1645.474415	2.302584	0.15726887	0.976113699	0.866336002
FWF	Light_1	1647.598208	2.301098	0.130896839	0.975055446	0.812964833
FWF	Light_1	1645.35492	1.816798	0.111243806	0.977340622	0.814221079
FWF	Light_1	1645.479723	2.302584	0.110867878	0.978407821	0.818666541
FWF	Light_1	1644.26972	2.302585	0.114606119	0.979694334	0.800152057
FWF	Light_1	1645.030891	2.302585	0.102622442	0.97916659	0.821652546
FWF	Light_1	1643.847068	2.302436	0.132380536	0.979305196	0.781299129
FWF	Light_1	1645.268242	2.302585	0.092631235	0.979277939	0.8091284
FWF	Light_1	1646.070547	2.300572	0.093840755	0.978624297	0.797640776
FWF	Light_1	1645.283417	2.299089	0.149590702	0.977867272	0.791666321
FWF	Light_1	1647.294415	2.299909	0.104083207	0.977181702	0.782247354
FWF	Light_1	1646.913899	2.30257	0.127639037	0.978610903	0.814445509
FWF	Light_1	1646.195047	2.302557	0.119678796	0.978714318	0.827832391
FWF	Light_1	1647.148297	2.077949	0.091359403	0.976012537	0.774294292
FWF	Light_1	1647.486884	2.302584	0.103755317	0.979854743	0.76710542
FWF	Light_1	1645.753959	2.302585	0.101171851	0.979761326	0.771586827
FWF	Light_1	1649.174274	2.302585	0.102341387	0.980061304	0.75047812
FWF	Light_1	1652.723091	2.300879	0.095494899	0.979453771	0.727276513
FWF	Light_1	1652.385268	2.302492	0.119911896	0.978697324	0.760407038
FWF	Light_1	1652.882831	2.302583	0.131616824	0.977972831	0.76744541
FWF	Light_1	1667.507998	2.287834	1.121977109	0.971795547	0.937071711
FWF	Light_1	1653.673574	2.30043	0.149247364	0.977278638	0.60920439
FWF	Light_1	1653.334933	0.802198	0.323248113	0.962903557	0.336484278
FWF	Light_1	1646.637673	2.302579	0.096149849	0.97855427	0.766513712
FWF	Light_1	1646.237915	2.302582	0.100650654	0.979495149	0.777117961
FWF	Light_1	1649.793986	2.302585	0.090327134	0.979448199	0.756639384
FWF	Light_1	1649.182796	2.302564	0.099032666	0.979858221	0.747050656
FWF	Light_1	1645.026516	2.302585	0.105922355	0.979692525	0.779398256
FWF	Light_1	1648.560068	2.302585	0.101982165	0.979879297	0.766645531
FWF	Light_1	1648.723392	2.302585	0.099174477	0.980204152	0.745637077
FWF	Light_1	1649.83792	2.302585	0.101749767	0.980039599	0.747819541
FWF	Light_1	1649.463535	2.302585	0.130326507	0.980167614	0.745674098
FWF	Light_1	1647.858376	2.302584	0.091835237	0.97980546	0.740507766
FWF	Light_1	1650.427866	2.302585	0.124802454	0.980137248	0.742042627
FWF	Light_1	1648.423524	2.302585	0.096119616	0.980271926	0.732100076
FWF	Light_1	1650.746216	2.302558	0.093225222	0.979230237	0.730186127
FWF	Light_1	1651.785995	2.302585	0.092357997	0.980173945	0.726154823
FWF	Light_1	1651.217716	2.302585	0.096766761	0.980274937	0.727542588
FWF	Light_1	1647.821337	2.302508	0.121342871	0.980253168	0.749609027
FWF	Light_1	1649.107559	2.302533	0.106219722	0.977693153	0.750708967
FWF	Light_1	1649.65148	2.302585	0.093923167	0.980192058	0.750372196
FWF	Light_1	1649.589308	2.302585	0.112885308	0.980189847	0.736109384
FWF	Light_1	1644.888854	2.302584	0.104147282	0.979824956	0.751941979
FWF	Light_1	1649.762246	2.249436	0.105819165	0.97604559	0.747741752
FWF	Light_1	1649.074846	2.302585	0.100016577	0.979931428	0.734966226
FWF	Light_1	1649.644727	2.301266	0.097330456	0.972285154	0.73156903
FWF	Light_1	1647.418049	2.302585	0.096430268	0.980185173	0.757375891
FWF	Light_1	1649.647363	2.302585	0.116463054	0.980294592	0.745931374
FWF	Light_1	1648.913901	2.302585	0.103842247	0.980345368	0.751931328
FWF	Light_1	1649.393485	2.302579	0.092974122	0.980254276	0.74615055
FWF	Light_1	1651.194226	2.30256	0.096116572	0.979835976	0.752267849
FWF	Light_1	1653.794932	2.302555	0.151527036	0.97976887	0.774371337
FWF	Light_1	1654.565012	2.30258	0.098895637	0.980093148	0.730579927
FWF	Light_1	1648.041244	2.302585	0.11439757	0.980362909	0.744190247
FWF	Light_1	1649.617086	2.302585	0.105028474	0.980197376	0.736720789
FWF	Light_1	1649.14822	2.302504	0.105273532	0.9800384	0.740616256
FWF	Light_1	1652.436871	2.302583	0.12509595	0.979866108	0.74353934
FWF	Light_1	1647.837933	2.302582	0.113412588	0.980319773	0.737803218
FWF	Light_1	1648.631022	2.302585	0.110905305	0.980084355	0.751087785
FWF	Light_1	1649.903787	2.302465	0.132411009	0.979695227	0.757721028
FWF	Light_1	1649.502647	2.302584	0.123355527	0.979633895	0.768385394
FWF	Dark_2	1652.836343	2.301975	0.108078672	0.977882453	0.739483643
FWF	Dark_2	1650.440953	2.302584	0.107778369	0.980145598	0.743949335
FWF	Dark_2	1649.61356	2.302576	0.096750341	0.98017674	0.737511131
FWF	Dark_2	1650.022966	2.302584	0.103214419	0.980329741	0.740851228
FWF	Dark_2	1647.26273	2.302585	0.113770229	0.980012086	0.763196625
FWF	Dark_2	1648.458405	2.302532	0.100395276	0.979273929	0.770883739
FWF	Dark_2	1646.007753	2.302585	0.116281436	0.98001422	0.765406313
FWF	Dark_2	1649.028223	2.302585	0.109941869	0.980231951	0.75645522
FWF	Dark_2	1647.534661	2.302585	0.099430382	0.98030827	0.753420405
FWF	Dark_2	1677.234765	2.30258	0.127303174	0.971738479	0.758499971
FWF	Dark_2	1760.590863	2.302577	0.153959507	0.948597616	0.753658398
FWF	Dark_2	1825.985876	2.272912	0.139749682	0.934426371	0.802830862
FWF	Dark_2	1842.858058	2.271087	0.154593824	0.927039969	0.802788592
FWF	Dark_2	1859.676453	2.302553	0.147970464	0.915061328	0.834119766
FWF	Dark_2	1860.916074	2.302516	0.120365598	0.901420365	0.814655899
FWF	Dark_2	1834.679963	2.302517	0.105477922	0.902648923	0.789168902
FWF	Dark_2	1792.115747	2.302573	0.118817919	0.943113783	0.825547
FWF	Dark_2	1777.707487	2.302574	0.107176253	0.939131638	0.816624461
FWF	Dark_2	1696.416451	2.302546	0.134560912	0.958490795	0.822822678
FWF	Dark_2	1677.958851	2.302581	0.126706521	0.948542551	0.839899208
FWF	Dark_2	1695.892908	2.302579	0.108969377	0.936349934	0.808812962
FWF	Dark_2	1675.682528	2.300511	0.117847902	0.950530234	0.812558378
FWF	Dark_2	1647.444472	2.302585	0.127545491	0.968490638	0.819037368
FWF	Dark_2	1646.313459	2.302568	0.1474451	0.977648243	0.831024354
FWF	Dark_2	1645.98431	2.30252	0.146342326	0.976473544	0.846277381
FWF	Dark_2	1644.423056	2.302583	0.132249285	0.978626187	0.833129258
FWF	Dark_2	1645.493229	2.302585	0.15387497	0.978924356	0.82868105
FWF	Dark_2	1643.774234	2.302584	0.153799063	0.978271344	0.845760816
FWF	Dark_2	1644.182567	2.302585	0.151972853	0.978731612	0.828781402
FWF	Dark_2	1644.975144	2.302584	0.202867229	0.97889167	0.839889116
FWF	Dark_2	1645.096303	2.301324	0.170929511	0.976304605	0.85307979
FWF	Dark_2	1644.503295	2.302573	0.179793457	0.978230638	0.847593759
FWF	Dark_2	1645.037294	2.302585	0.173323033	0.978790303	0.837199266
FWF	Dark_2	1646.562137	2.301633	0.196442159	0.978492448	0.815168246
FWF	Dark_2	1645.783703	2.302566	0.117780566	0.978822121	0.826860973
FWF	Dark_2	1646.045564	2.302585	0.140582224	0.979145571	0.815434645
FWF	Dark_2	1646.119547	2.217081	0.123334193	0.977538318	0.825647397
FWF	Dark_2	1645.463801	2.302585	0.139909612	0.978432815	0.839004195
FWF	Dark_2	1645.364358	2.302585	0.163651224	0.978281587	0.842694193
FWF	Dark_2	1645.850724	2.302585	0.124150213	0.978617816	0.818887271
FWF	Dark_2	1646.18455	2.302584	0.140702794	0.978928936	0.825094143
FWF	Dark_2	1646.87967	2.302579	0.172895387	0.979047723	0.830866458
FWF	Dark_2	1641.289721	2.302585	0.124738413	0.977870437	0.854086539
FWF	Dark_2	1644.522093	2.302584	0.122833672	0.977845322	0.853037584
FWF	Dark_2	1648.518848	2.302454	0.186965445	0.97775583	0.83640377
FWF	Dark_2	1645.042373	2.302582	0.12335057	0.978668631	0.830768332
FWF	Dark_2	1642.290008	2.302584	0.15278058	0.977752172	0.852501708
FWF	Dark_2	1643.672156	2.302556	0.13371251	0.976432453	0.866463025
FWF	Dark_2	1642.494042	2.302575	0.131636117	0.976419389	0.877361315
FWF	Dark_2	1645.335199	2.302486	0.12651889	0.976294555	0.861312582
FWF	Dark_2	1644.393698	2.302525	0.120496971	0.97788461	0.840809229
FWF	Dark_2	1646.478514	2.302585	0.136415166	0.978608919	0.836650582
FWF	Dark_2	1645.545983	2.302585	0.177671026	0.978729383	0.838203218
FWF	Dark_2	1644.067728	2.302584	0.140653841	0.978327641	0.843071968
FWF	Dark_2	1645.364169	2.302585	0.121096928	0.978313146	0.843577579
FWF	Dark_2	1651.530263	2.302584	0.124263226	0.977393143	0.839231505
FWF	Dark_2	1719.005008	2.302583	0.131341685	0.967027654	0.867209808
FWF	Dark_2	1802.656659	2.302572	0.127700183	0.951110118	0.873989682
FWF	Dark_2	1836.008752	2.302478	0.154118433	0.907954161	0.872392083
FWF	Dark_2	1834.161988	2.300616	0.192282192	0.900961411	0.881561055
